B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
K06959	K07460	K07079	K07071	K07027	K07658	K07173	K07027	K07705		
K06966	K07462	K07082	K07075	K07031	K07667	K07175	K07037	K07717		
K06969	K07478	K07085	K07078	K07037	K07668	K07214	K07043	K07718		
K06973	K07484	K07091	K07079	K07043	K07694	K07220	K07052	K07719		
K06975	K07497	K07095	K07082	K07045	K07699	K07240	K07056	K07720		
K06989	K07504	K07096	K07085	K07052	K07718	K07259	K07058	K07727		
K06996	K07506	K07098	K07089	K07056	K07720	K07263	K07071	K07729		
K06997	K07560	K07106	K07091	K07058	K07726	K07271	K07075	K07736		
K07000	K07566	K07107	K07095	K07071	K07729	K07273	K07078	K07738		
K07001	K07568	K07114	K07098	K07075	K07738	K07277	K07079	K07742		
K07003	K07588	K07126	K07106	K07078	K07742	K07282	K07082	K07755		
K07004	K07636	K07133	K07107	K07079	K07814	K07301	K07085	K07816		
K07005	K07646	K07137	K07114	K07082	K07816	K07304	K07089	K07862		
K07010	K07657	K07139	K07115	K07085	K07862	K07319	K07091	K07979		
K07011	K07658	K07148	K07118	K07091	K07979	K07322	K07095	K08094		
K07017	K07713	K07154	K07126	K07095	K08170	K07334	K07098	K08166		
K07025	K07735	K07164	K07133	K07098	K08234	K07386	K07106	K08177		
K07027	K07791	K07173	K07137	K07106	K08301	K07387	K07107	K08298		
K07037	K07792	K07192	K07139	K07107	K08303	K07391	K07114	K08303		
K07043	K08138	K07214	K07148	K07110	K08309	K07404	K07124	K08316		
K07045	K08156	K07220	K07164	K07114	K08316	K07405	K07133	K08384		
K07052	K08169	K07221	K07175	K07115	K08384	K07407	K07137	K08483		
K07053	K08191	K07240	K07192	K07118	K08483	K07443	K07138	K08591		
K07056	K08218	K07248	K07220	K07126	K08591	K07444	K07139	K08600		
K07058	K08223	K07259	K07223	K07133	K08600	K07447	K07148	K08744		
K07075	K08224	K07263	K07240	K07137	K08744	K07456	K07154	K08963		
K07078	K08282	K07271	K07257	K07139	K08884	K07459	K07164	K08974		
K07079	K08289	K07273	K07259	K07148	K08978	K07460	K07175	K08978		
K07082	K08295	K07277	K07263	K07154	K08998	K07462	K07214	K08981		
K07085	K08301	K07282	K07270	K07164	K09022	K07478	K07223	K09002		
K07091	K08303	K07301	K07273	K07175	K09116	K07507	K07231	K09013		
K07095	K08307	K07304	K07277	K07192	K09117	K07560	K07240	K09022		
K07098	K08314	K07322	K07282	K07214	K09121	K07566	K07248	K09116		
K07101	K08316	K07386	K07289	K07220	K09157	K07568	K07259	K09117		
K07106	K08325	K07387	K07301	K07221	K09384	K07588	K07263	K09121		
K07107	K08364	K07391	K07304	K07223	K09458	K07636	K07271	K09157		
K07114	K08641	K07404	K07318	K07240	K09691	K07646	K07277	K09163		
K07118	K08676	K07405	K07322	K07259	K09692	K07657	K07282	K09458		
K07133	K08678	K07407	K07343	K07263	K09693	K07658	K07301	K09472		
K07137	K08884	K07443	K07386	K07271	K09698	K07697	K07302	K09684		
K07138	K08961	K07444	K07387	K07273	K09702	K07698	K07315	K09690		
K07139	K08968	K07447	K07391	K07277	K09703	K07710	K07316	K09696		
K07148	K08978	K07456	K07404	K07282	K09706	K07713	K07319	K09698		
K07154	K08999	K07460	K07405	K07289	K09710	K07727	K07322	K09707		
K07164	K09011	K07462	K07407	K07301	K09747	K07735	K07386	K09710		
K07175	K09013	K07474	K07443	K07304	K09748	K07791	K07387	K09747		
K07192	K09014	K07478	K07444	K07319	K09759	K07792	K07391	K09748		
K07214	K09015	K07484	K07447	K07322	K09761	K08138	K07397	K09759		
K07220	K09022	K07497	K07456	K07386	K09762	K08139	K07403	K09761		
K07221	K09065	K07507	K07460	K07387	K09765	K08156	K07405	K09762		
K07223	K09117	K07560	K07462	K07391	K09772	K08191	K07407	K09765		
K07240	K09125	K07566	K07478	K07404	K09777	K08218	K07443	K09768		
K07257	K09181	K07568	K07483	K07405	K09779	K08223	K07444	K09772		
K07259	K09457	K07588	K07484	K07407	K09787	K08224	K07447	K09778		
K07263	K09458	K07636	K07497	K07443	K09811	K08289	K07456	K09779		
K07273	K09650	K07646	K07507	K07444	K09812	K08295	K07458	K09787		
K07277	K09702	K07657	K07560	K07447	K09815	K08301	K07460	K09811		
K07282	K09710	K07658	K07566	K07456	K09816	K08303	K07462	K09812		
K07301	K09748	K07713	K07568	K07458	K09817	K08307	K07464	K09825		
K07304	K09758	K07727	K07588	K07460	K09820	K08314	K07478	K09861		
K07315	K09760	K07735	K07636	K07462	K09825	K08316	K07492	K09888		
K07317	K09761	K07741	K07646	K07474	K09861	K08364	K07507	K09903		
K07322	K09789	K07791	K07657	K07478	K09888	K08641	K07560	K09936		
K07334	K09790	K07792	K07658	K07483	K09903	K08651	K07566	K09951		
K07386	K09793	K08138	K07665	K07484	K09936	K08676	K07568	K09988		
K07387	K09807	K08156	K07713	K07487	K09988	K08678	K07588	K10112		
K07391	K09808	K08169	K07727	K07497	K10012	K08717	K07636	K10117		
K07404	K09810	K08191	K07729	K07506	K10112	K08838	K07646	K10118		
K07405	K09811	K08218	K07735	K07507	K10117	K08884	K07657	K10119		
K07407	K09812	K08224	K07783	K07560	K10118	K08961	K07658	K10121		
K07443	K09815	K08282	K07791	K07566	K10119	K08968	K07665	K10188		
K07444	K09816	K08289	K07792	K07568	K10120	K08978	K07713	K10189		
K07447	K09817	K08295	K08138	K07588	K10121	K08998	K07722	K10190		
K07451	K09825	K08301	K08139	K07636	K10188	K08999	K07727	K10202		
K07456	K09861	K08303	K08156	K07646	K10189	K09001	K07729	K10206		
K07460	K09888	K08307	K08169	K07657	K10190	K09011	K07735	K10217		
K07462	K09903	K08314	K08191	K07658	K10200	K09013	K07787	K10439		
K07478	K09922	K08316	K08218	K07665	K10201	K09014	K07791	K10440		
K07484	K09924	K08325	K08223	K07713	K10202	K09015	K07792	K10441		
K07507	K09955	K08641	K08224	K07735	K10206	K09022	K07798	K10540		
K07552	K09973	K08676	K08282	K07783	K10254	K09065	K08138	K10541		
K07560	K09988	K08678	K08289	K07791	K10439	K09117	K08156	K10542		
K07566	K10026	K08679	K08295	K07792	K10440	K09125	K08169	K10670		
K07568	K10112	K08884	K08301	K08138	K10441	K09181	K08191	K10671		
K07588	K10206	K08968	K08303	K08139	K10542	K09457	K08217	K10672		
