sampleID	measurement1	measurement2	measurement3
6-20.0	76653073.98228395	76788296.3694829	76413319.63382211
6-21.0	107778107.51776992	107695778.8265357	108312760.66665195
6-22.3	131182337.23094647	130330513.4332257	132431890.73565826
6-24.0	98041835.91630055	98667379.76475042	98034591.9875746
6-25.0	104300742.90529183	104991742.65567206	104144042.10247263
6-26.0	212767399.66373605	212985840.04204267	212389706.9641732
6-27.0	110275612.07248405	110300497.97836931	109232205.24224298
6-28.0	111457287.74919726	112761128.92534594	111358194.89558078
6-29.0	116202354.9514867	116041744.21360281	116348187.81232947
6-3.0	96459145.08109221	96333952.21234	96967850.3197442
6-30.0	119445748.71581405	119663427.39435609	120019116.82203695
6-31.0	64304717.66776924	64777782.38270985	64170803.38824435
6-32.0	134424254.25285402	135494789.35714564	134238195.62969142
6-33.0	92688271.36512321	92568438.11386096	93209135.56490068
6-34.0	131558381.93378815	131761199.73287836	131444278.78567396
6-35.0	94474920.42469043	93823948.79524313	94233995.42377716
6-36.0	125041690.67473167	124846640.57481185	125912304.98079675
6-37.0	32030414.18848695	31895839.9414579	32196585.681845296
6-37.01	32030414.18848695	31895839.9414579	32196585.681845296
6-4.0	119726695.90933554	119123972.71413872	119737945.30503228
6-5.0	88870581.35559629	89617794.85743985	88606734.62069663
6-6.0	148879634.09891403	148289857.35735828	147381994.07001424
6-7.0	183517529.4851631	183029734.4706732	184058634.22928092
6-8.0	214444229.8779625	214836500.68584558	213483123.30376938
6-9.0	111756231.84284973	112481432.14998677	110659494.17555515
7-0.0	4026485.6790929013	4036171.6949248994	4058391.964879418
7-1.0	29273328.158963367	29677205.697762705	29368169.027876724
7-10.0	115981660.32230435	115938359.74185196	115321140.01551229
7-11.0	166126251.93142012	166341149.89406216	165117532.18096334
7-12.0	168611773.3661256	168844120.95803237	169346045.419256
7-13.0	143158208.67219767	144185404.17004204	142529765.16854718
7-14.0	153643561.2050753	154033231.19922733	154639286.61258766
7-15.0	182094912.87348497	181989088.68765843	182656183.3975985
7-16.0	121651437.06350963	121075120.3176511	121977825.7527608
7-17.0	220278406.2793351	220547634.35385832	220724134.62929115
7-18.0	110412615.67225139	111186246.41366006	110518308.63001585
7-19.0	215870712.77432778	215427765.72279513	216821095.67518848
7-2.0	156480217.40495402	156894063.46697795	156124944.4357252
7-20.0	204433368.86803567	204684972.97643697	204521226.1254859
7-21.0	170114948.45167673	170849436.46253946	170754535.22668234
7-22.3	204429875.846506	203607297.31007794	205005335.4378731
7-24.0	78876781.15461066	79802260.97598046	78405497.59100154
7-25.0	123869370.29789768	123077125.89371192	123559443.14599788
7-26.0	97295226.37593353	97117394.49567272	97418209.24737546
7-27.0	90914777.49816203	91341209.87130764	90729304.66572033
7-29.0	101566848.92090805	101717540.18741071	102468081.31065091
7-3.0	110074304.24030821	110531104.9852579	109857923.91844614
7-30.0	106476813.65537049	106212696.67652321	106390451.13830006
7-31.0	106385242.09422521	106345451.3632637	106794522.17312519
7-32.0	128508030.9093539	128515890.4500116	128720411.46927483
7-33.0	106325046.13857856	107159304.14317325	106247814.5717533
7-34.0	140084037.6470403	140567628.07426172	139554174.30714294
7-35.0	85822989.49281558	86164853.40274258	85952373.68171507
7-36.0	121984480.37812895	121583196.51550238	122618248.57484056
7-37.0	33356294.460078217	33517886.13302405	33436198.666925404
7-37.01	33356294.460078217	33517886.13302405	33436198.666925404
7-4.0	129935189.79102263	130081744.77236857	129429622.67325939
7-5.0	96363068.4458258	97032379.97150515	97199873.26609652
7-6.0	118756810.62430301	119952727.42632104	117897855.74160153
7-7.0	228119189.97136217	227769294.1696711	226313985.13842538
7-8.0	203195917.86873862	202783122.18111998	204171824.4031838
7-9.0	155233124.8946401	154562482.87454817	155408414.51074606
