	M2-D10-1A	M2-D10-1B	M2-D10-2A	M2-D10-2B	M2-D10-3A	M2-D10-3B	M2-D8-1A	M2-D8-1B	M2-D8-2A	M2-D8-2B	M2-D8-3A	M2-D8-3B	M2-D9-1A	M2-D9-1B	M2-D9-2A	M2-D9-2B	M2-D9-3A	M2-D9-3B
ASV_229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_232	0	0	1	0	0	0	2	4	0	2	2	2	0	0	3	0	0	0
ASV_233	9	8	8	11	3	5	43	55	49	32	28	69	25	16	22	11	26	9
ASV_234	43	32	62	52	36	25	67	62	53	35	39	97	25	20	22	35	35	19
ASV_235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_238	5	3	4	0	6	9	6	5	8	6	14	0	1	0	11	5	5	4
ASV_239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_240	3	5	3	3	2	8	11	6	7	11	16	11	8	5	15	4	12	0
ASV_241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_242	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_245	7	0	11	7	4	18	7	14	9	12	11	4	13	8	21	6	18	16
ASV_246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_251	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_256	5	7	6	3	6	6	0	0	0	0	0	0	2	0	0	3	3	5
ASV_257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_260	0	0	2	0	0	0	0	4	0	0	0	0	3	1	0	0	0	0
ASV_261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_264	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_266	6	14	0	7	5	8	0	0	0	0	0	0	0	1	6	0	5	0
ASV_267	4	13	0	8	0	0	7	9	5	0	0	7	6	6	7	4	7	4
ASV_268	8	7	2	8	8	12	0	3	4	0	6	6	10	14	16	16	18	6
ASV_269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_272	0	0	0	0	0	0	168	117	127	88	96	166	11	10	18	12	23	8
ASV_273	1	0	0	0	0	0	0	2	3	7	0	4	0	0	3	3	2	0
ASV_274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_276	0	4	3	0	0	8	6	3	6	10	7	6	0	4	14	0	10	0
ASV_277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_281	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ASV_282	3	4	5	4	3	3	0	6	3	3	2	1	4	7	5	3	6	2
ASV_283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_284	2	4	2	0	0	2	1	1	0	0	0	2	0	0	0	0	4	0
ASV_285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_288	0	0	0	0	0	1	0	0	1	0	2	0	2	0	0	0	0	0
ASV_289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
